ÿcolumn,unknown value count,blank value count,total rows,% missing,handling technique
encounter_id,0,0,101766,0,
patient_nbr,0,0,101766,0,
race,2273,0,101766,2.233555411,mark 'Unknown'
gender,0,0,101766,0,
age,0,0,101766,0,
weight,98569,0,101766,96.85847926,drop column
admission_type_id,0,0,101766,0,
discharge_disposition_id,0,0,101766,0,
admission_source_id,0,0,101766,0,
time_in_hospital,0,0,101766,0,
payer_code,40256,0,101766,39.55741603,mark 'Unknown'
medical_specialty,49949,0,101766,49.0822082,mark 'Unknown'
num_lab_procedures,0,0,101766,0,
num_procedures,0,0,101766,0,
num_medications,0,0,101766,0,
number_outpatient,0,0,101766,0,
number_emergency,0,0,101766,0,
number_inpatient,0,0,101766,0,
diag_1,21,0,101766,0.020635576,mark 'other'
diag_2,358,0,101766,0.351787434,mark 'other'
diag_3,1423,0,101766,1.398305917,mark 'other'
number_diagnoses,0,0,101766,0,
max_glu_serum,0,0,101766,0,
A1Cresult,0,0,101766,0,
metformin,0,0,101766,0,
repaglinide,0,0,101766,0,
nateglinide,0,0,101766,0,
chlorpropamide,0,0,101766,0,
glimepiride,0,0,101766,0,
acetohexamide,0,0,101766,0,
glipizide,0,0,101766,0,
glyburide,0,0,101766,0,
tolbutamide,0,0,101766,0,
pioglitazone,0,0,101766,0,
rosiglitazone,0,0,101766,0,
acarbose,0,0,101766,0,
miglitol,0,0,101766,0,
troglitazone,0,0,101766,0,
tolazamide,0,0,101766,0,
examide,0,0,101766,0,
citoglipton,0,0,101766,0,
insulin,0,0,101766,0,
glyburide-metformin,0,0,101766,0,
glipizide-metformin,0,0,101766,0,
glimepiride-pioglitazone,0,0,101766,0,
metformin-rosiglitazone,0,0,101766,0,
metformin-pioglitazone,0,0,101766,0,
change,0,0,101766,0,
diabetesMed,0,0,101766,0,
readmitted,0,0,101766,0,
